Unnamed: 0,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
111.0,D4L,Dark Lane Demo Tapes,2020.0,0.718,0.0128,0.706,0.0,0.352,-5.709,0.06,170.004,0.815,61
112.0,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,2020.0,0.825,0.163,0.373,0.0,0.368,-5.532,0.108,77.271,0.12,80
113.0,Losses,Dark Lane Demo Tapes,2020.0,0.551,0.28,0.57,0.0,0.424,-7.385,0.351,85.687,0.505,59
114.0,From Florida With Love,Dark Lane Demo Tapes,2020.0,0.787,0.768,0.477,0.0,0.104,-7.837,0.199,80.506,0.476,63
115.0,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,2020.0,0.543,0.423,0.766,0.0,0.155,-3.387,0.343,106.869,0.729,62
116.0,War,Dark Lane Demo Tapes,2020.0,0.749,0.292,0.792,0.0,0.109,-4.151,0.0826,144.064,0.239,65
117.0,Dreams Money Can Buy,Care Package,2019.0,0.423,0.765,0.587,0.0,0.114,-6.635,0.529,180.331,0.33,58
118.0,The Motion,Care Package,2019.0,0.631,0.371,0.788,0.000317,0.108,-7.142,0.102,157.769,0.544,64
119.0,How Bout Now,Care Package,2019.0,0.789,0.205,0.404,0.0,0.219,-8.364,0.23,122.062,0.472,68
120.0,Trust Issues,Care Package,2019.0,0.421,0.779,0.539,0.0,0.111,-5.456,0.274,89.177,0.523,83
121.0,Days in The East,Care Package,2019.0,0.733,0.348,0.361,0.000285,0.0942,-11.129,0.135,94.902,0.0361,57
122.0,Draft Day,Care Package,2019.0,0.673,0.0322,0.81,0.0,0.133,-3.793,0.36,166.084,0.564,54
123.0,4pm in Calabasas,Care Package,2019.0,0.743,0.115,0.66,0.0,0.101,-4.802,0.418,192.031,0.549,59
124.0,5 Am in Toronto,Care Package,2019.0,0.555,0.0678,0.88,0.0,0.0723,-4.325,0.265,87.195,0.391,61
125.0,I Get Lonely,Care Package,2019.0,0.477,0.706,0.501,5.61e-06,0.0953,-9.178,0.0398,81.376,0.689,57
126.0,My Side,Care Package,2019.0,0.549,0.603,0.495,7.26e-06,0.0979,-5.661,0.133,81.012,0.385,51
127.0,Jodeci Freestyle (feat. J. Cole),Care Package,2019.0,0.498,0.0111,0.844,0.0,0.102,-2.834,0.268,88.435,0.282,55
128.0,Club Paradise,Care Package,2019.0,0.338,0.758,0.729,3.24e-05,0.18,-6.419,0.102,184.174,0.543,60
129.0,Free Spirit (feat. Rick Ross),Care Package,2019.0,0.508,0.281,0.748,0.0,0.168,-4.997,0.33,100.414,0.225,57
130.0,Heat Of The Moment,Care Package,2019.0,0.641,0.179,0.454,0.000116,0.065,-8.344,0.133,78.036,0.302,49
131.0,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,2019.0,0.619,0.782,0.489,0.0,0.106,-11.25,0.46,126.046,0.328,62
132.0,Paris Morton Music,Care Package,2019.0,0.505,0.414,0.494,7.98e-05,0.105,-8.635,0.315,171.978,0.141,60
133.0,Can I,Care Package,2019.0,0.643,0.484,0.178,0.0108,0.122,-8.56,0.0588,85.042,0.0674,68
