,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
44,All The Parties (feat. Chief Keef),For All The Dogs,2023,0.65,0.552,0.405,0.0,0.107,-10.156,0.199,124.747,0.195,76
45,8am in Charlotte,For All The Dogs,2023,0.567,0.643,0.682,0.0,0.512,-6.423,0.274,79.043,0.668,80
46,BBL Love - Interlude,For All The Dogs,2023,0.502,0.845,0.391,0.0,0.112,-9.013,0.0428,132.819,0.574,72
47,Gently (feat. Bad Bunny),For All The Dogs,2023,0.868,0.0479,0.407,0.000111,0.139,-7.735,0.295,107.524,0.255,83
48,Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,2023,0.645,0.0377,0.729,0.0,0.384,-4.56,0.0528,146.01,0.142,88
49,Another Late Night (feat. Lil Yachty),For All The Dogs,2023,0.684,0.0347,0.541,0.0,0.138,-8.04,0.0483,158.046,0.214,78
50,Away From Home,For All The Dogs,2023,0.848,0.0195,0.625,0.0,0.109,-7.64,0.0587,93.019,0.226,75
51,Polar Opposites,For All The Dogs,2023,0.44,0.0924,0.274,3.37e-06,0.128,-14.464,0.0809,76.513,0.343,75
52,Rich Flex,Her Loss,2022,0.561,0.0503,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424,87
53,Major Distribution,Her Loss,2022,0.908,0.0127,0.546,0.0,0.0707,-10.491,0.323,131.016,0.225,75
54,On BS,Her Loss,2022,0.841,0.0201,0.358,0.0,0.39,-8.368,0.591,158.014,0.329,79
55,BackOutsideBoyz,Her Loss,2022,0.849,0.0407,0.433,0.0,0.388,-8.434,0.316,142.11,0.395,71
56,Privileged Rappers,Her Loss,2022,0.934,0.00274,0.614,0.0,0.123,-7.384,0.198,144.045,0.616,76
57,Spin Bout U,Her Loss,2022,0.773,0.01,0.701,0.0,0.163,-6.386,0.0512,129.963,0.203,83
58,Hours In Silence,Her Loss,2022,0.501,0.234,0.403,0.0,0.267,-11.106,0.119,118.352,0.111,77
59,Treacherous Twins,Her Loss,2022,0.746,0.0782,0.517,0.0,0.137,-7.582,0.327,88.987,0.609,69
60,Circo Loco,Her Loss,2022,0.734,0.0102,0.605,0.0,0.317,-8.476,0.0699,103.976,0.252,76
61,Pussy & Millions (feat. Travis Scott),Her Loss,2022,0.749,0.0623,0.63,0.0,0.353,-6.652,0.116,122.03,0.445,79
62,Broke Boys,Her Loss,2022,0.642,0.0104,0.533,0.000108,0.251,-7.45,0.266,120.041,0.112,73
63,Middle of the Ocean,Her Loss,2022,0.466,0.18,0.703,0.0,0.422,-5.774,0.393,76.815,0.25,68
64,Jumbotron Shit Poppin,Her Loss,2022,0.799,0.221,0.575,0.0,0.196,-6.257,0.282,99.026,0.319,75
65,More M’s,Her Loss,2022,0.704,0.0405,0.504,0.000422,0.139,-6.749,0.223,82.537,0.0713,72
66,3AM on Glenwood,Her Loss,2022,0.475,0.0533,0.692,6.49e-06,0.18,-8.327,0.398,181.167,0.241,63
67,I Guess It’s Fuck Me,Her Loss,2022,0.385,0.499,0.34,1.2e-05,0.196,-11.754,0.051,83.947,0.0398,67
68,Intro,"Honestly, Nevermind",2022,0.193,0.955,0.0218,0.88,0.117,-31.16,0.0389,125.501,0.213,57
69,Falling Back,"Honestly, Nevermind",2022,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,118.989,0.349,63
70,Texts Go Green,"Honestly, Nevermind",2022,0.765,0.000916,0.627,0.195,0.0847,-4.607,0.0622,118.997,0.536,64
71,Currents,"Honestly, Nevermind",2022,0.883,0.104,0.283,0.00167,0.0935,-12.653,0.113,122.013,0.416,64
72,A Keeper,"Honestly, Nevermind",2022,0.6,0.512,0.482,0.000104,0.115,-11.596,0.0701,121.909,0.323,68
